tf.Tensor([3.7571881e-02 1.3397689e-04 1.2399416e-04 9.6217012e-01], shape=(4,), dtype=float32)
tf.Tensor([1.2073707e-06 4.0492137e-10 1.3268413e-17 9.9999875e-01], shape=(4,), dtype=float32)
tf.Tensor([4.5200333e-01 7.4146792e-06 8.6828557e-05 5.4790246e-01], shape=(4,), dtype=float32)
tf.Tensor([2.5214607e-04 8.8224692e-07 2.8029610e-05 9.9971896e-01], shape=(4,), dtype=float32)
tf.Tensor([8.78463984e-01 1.91217507e-04 2.55683670e-04 1.21089004e-01], shape=(4,), dtype=float32)
tf.Tensor([7.0342571e-02 3.0225865e-03 2.7896399e-06 9.2663199e-01], shape=(4,), dtype=float32)
tf.Tensor([2.3341041e-05 3.6291515e-06 3.9517436e-05 9.9993348e-01], shape=(4,), dtype=float32)
tf.Tensor([0.13523763 0.00076246 0.23680715 0.62719274], shape=(4,), dtype=float32)
tf.Tensor([1.343183e-04 1.983835e-05 9.562526e-06 9.998362e-01], shape=(4,), dtype=float32)
tf.Tensor([0.46085396 0.00059393 0.05218183 0.48637024], shape=(4,), dtype=float32)
tf.Tensor([5.7286114e-01 1.2474743e-04 2.3929264e-05 4.2699024e-01], shape=(4,), dtype=float32)
tf.Tensor([5.0855547e-01 3.2795306e-05 9.6318286e-07 4.9141085e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9692911e-01 1.3478687e-04 5.6927674e-04 2.3667936e-03], shape=(4,), dtype=float32)
tf.Tensor([6.3114667e-01 5.8939736e-06 6.8304240e-07 3.6884677e-01], shape=(4,), dtype=float32)
tf.Tensor([0.565971   0.00684301 0.38679525 0.04039068], shape=(4,), dtype=float32)
tf.Tensor([2.5453703e-02 2.4542917e-04 1.2991373e-05 9.7428793e-01], shape=(4,), dtype=float32)
tf.Tensor([5.9293580e-01 3.7150580e-04 3.6875328e-01 3.7939418e-02], shape=(4,), dtype=float32)
tf.Tensor([9.9998099e-01 5.0800118e-08 6.9889410e-09 1.8983787e-05], shape=(4,), dtype=float32)
tf.Tensor([9.9984992e-01 1.3794391e-04 1.0643109e-05 1.5225778e-06], shape=(4,), dtype=float32)
tf.Tensor([4.8245713e-01 2.9933533e-05 4.6749455e-01 5.0018363e-02], shape=(4,), dtype=float32)
tf.Tensor([5.4534429e-01 1.4596295e-05 4.5126539e-01 3.3757177e-03], shape=(4,), dtype=float32)
tf.Tensor([7.2404015e-01 7.0381808e-05 1.2487975e-02 2.6340160e-01], shape=(4,), dtype=float32)
tf.Tensor([5.1110399e-01 9.2309521e-05 3.1589288e-01 1.7291081e-01], shape=(4,), dtype=float32)
tf.Tensor([8.5218418e-01 1.2059775e-03 3.2563778e-04 1.4628422e-01], shape=(4,), dtype=float32)
tf.Tensor([0.86064804 0.13452318 0.00204934 0.0027794 ], shape=(4,), dtype=float32)
tf.Tensor([6.9686194e-04 9.9465644e-01 2.4596290e-04 4.4007748e-03], shape=(4,), dtype=float32)
tf.Tensor([0.2779366  0.5524235  0.16831335 0.00132651], shape=(4,), dtype=float32)
tf.Tensor([1.0602856e-03 9.9385583e-01 1.5442380e-05 5.0684875e-03], shape=(4,), dtype=float32)
tf.Tensor([1.6932506e-02 3.3757756e-06 9.8305285e-01 1.1122421e-05], shape=(4,), dtype=float32)
tf.Tensor([2.6797305e-05 5.6643063e-07 9.9997258e-01 6.6048308e-08], shape=(4,), dtype=float32)
tf.Tensor([7.3205479e-03 2.1809590e-05 9.9098444e-01 1.6732182e-03], shape=(4,), dtype=float32)
tf.Tensor([1.4543390e-05 5.4136358e-09 9.9998534e-01 1.0659432e-07], shape=(4,), dtype=float32)
tf.Tensor([7.4987838e-06 1.2831254e-05 9.9997318e-01 6.6287885e-06], shape=(4,), dtype=float32)
tf.Tensor([9.9899268e-01 1.5650528e-04 1.0924986e-05 8.3989906e-04], shape=(4,), dtype=float32)
tf.Tensor([4.3888204e-09 4.5710661e-11 1.0000000e+00 4.5605355e-09], shape=(4,), dtype=float32)
tf.Tensor([2.8915651e-02 2.5549053e-07 9.7107071e-01 1.3359997e-05], shape=(4,), dtype=float32)
tf.Tensor([1.2884254e-04 5.8280789e-09 9.9986959e-01 1.5734623e-06], shape=(4,), dtype=float32)
tf.Tensor([1.4830925e-11 2.7937798e-08 1.0000000e+00 2.3790918e-09], shape=(4,), dtype=float32)
tf.Tensor([2.4672842e-08 8.5975944e-07 9.9999917e-01 5.7206385e-08], shape=(4,), dtype=float32)
tf.Tensor([5.6334084e-04 5.8752954e-01 3.5542696e-06 4.1190356e-01], shape=(4,), dtype=float32)
tf.Tensor([1.7793345e-01 9.1977636e-05 3.2607395e-06 8.2197124e-01], shape=(4,), dtype=float32)
tf.Tensor([1.0608735e-03 1.4550691e-05 3.1330808e-05 9.9889326e-01], shape=(4,), dtype=float32)
tf.Tensor([7.6340290e-04 4.8987067e-06 4.0513754e-08 9.9923170e-01], shape=(4,), dtype=float32)
tf.Tensor([2.2181623e-01 3.0355954e-01 5.1767489e-05 4.7457242e-01], shape=(4,), dtype=float32)
tf.Tensor([1.8616674e-05 2.5086281e-06 5.9641060e-08 9.9997884e-01], shape=(4,), dtype=float32)
tf.Tensor([1.3230377e-02 7.7661043e-06 2.1804201e-06 9.8675966e-01], shape=(4,), dtype=float32)
tf.Tensor([6.0278453e-02 7.8784893e-08 7.5340796e-11 9.3972158e-01], shape=(4,), dtype=float32)
tf.Tensor([5.1578355e-01 8.5656490e-04 4.1046669e-04 4.8294938e-01], shape=(4,), dtype=float32)
tf.Tensor([2.5478113e-04 9.2637871e-05 1.4634341e-05 9.9963796e-01], shape=(4,), dtype=float32)
tf.Tensor([7.5771093e-01 1.6541723e-07 2.7912770e-06 2.4228607e-01], shape=(4,), dtype=float32)
tf.Tensor([3.0801082e-06 9.9088641e-07 9.0484245e-05 9.9990547e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9926162e-01 2.4968534e-07 5.6634552e-04 1.7177338e-04], shape=(4,), dtype=float32)
tf.Tensor([4.0301272e-01 8.5448773e-05 8.0622539e-07 5.9690100e-01], shape=(4,), dtype=float32)
tf.Tensor([1.3238656e-06 1.5738426e-05 3.4956835e-04 9.9963343e-01], shape=(4,), dtype=float32)
tf.Tensor([0.01443577 0.00931474 0.44079062 0.53545886], shape=(4,), dtype=float32)
tf.Tensor([8.3421087e-03 1.4771525e-03 4.3452754e-05 9.9013722e-01], shape=(4,), dtype=float32)
tf.Tensor([5.0729260e-02 3.9146282e-05 6.4550195e-06 9.4922507e-01], shape=(4,), dtype=float32)
tf.Tensor([5.9071994e-01 1.7080314e-05 6.8002316e-07 4.0926233e-01], shape=(4,), dtype=float32)
tf.Tensor([7.6038015e-01 1.5117544e-04 1.0738183e-06 2.3946764e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9603045e-01 2.2504886e-05 1.0452161e-06 3.9460412e-03], shape=(4,), dtype=float32)
tf.Tensor([4.4466957e-01 5.9475997e-03 3.0123015e-06 5.4937989e-01], shape=(4,), dtype=float32)
tf.Tensor([8.3845580e-01 3.8039978e-04 9.0621214e-04 1.6025767e-01], shape=(4,), dtype=float32)
tf.Tensor([0.2972877  0.01616851 0.65499413 0.03154963], shape=(4,), dtype=float32)
tf.Tensor([0.7395388  0.00078477 0.21674012 0.04293627], shape=(4,), dtype=float32)
tf.Tensor([9.9998295e-01 1.4078498e-06 1.0891782e-05 4.7622279e-06], shape=(4,), dtype=float32)
tf.Tensor([9.6206957e-01 1.2874646e-06 2.3026178e-07 3.7928920e-02], shape=(4,), dtype=float32)
tf.Tensor([4.7421336e-01 4.7952749e-06 5.1708734e-01 8.6945267e-03], shape=(4,), dtype=float32)
tf.Tensor([4.0274525e-01 4.5426241e-06 5.9594506e-01 1.3051463e-03], shape=(4,), dtype=float32)
tf.Tensor([1.7219223e-02 3.5675853e-06 1.8918585e-05 9.8275840e-01], shape=(4,), dtype=float32)
tf.Tensor([5.1601738e-01 2.7849346e-05 4.4957173e-01 3.4383051e-02], shape=(4,), dtype=float32)
tf.Tensor([0.7095386  0.12898326 0.00266077 0.15881735], shape=(4,), dtype=float32)
tf.Tensor([9.4659906e-03 5.2555235e-05 5.2292462e-02 9.3818903e-01], shape=(4,), dtype=float32)
tf.Tensor([5.0689111e-04 9.4886625e-01 3.9948407e-04 5.0227437e-02], shape=(4,), dtype=float32)
tf.Tensor([3.5470126e-03 5.0319284e-01 5.0481599e-06 4.9325505e-01], shape=(4,), dtype=float32)
tf.Tensor([1.0602856e-03 9.9385583e-01 1.5442380e-05 5.0684875e-03], shape=(4,), dtype=float32)
tf.Tensor([9.14196849e-01 1.02613245e-04 8.54665786e-02 2.34028310e-04], shape=(4,), dtype=float32)
tf.Tensor([1.2638080e-03 4.4109154e-08 9.9873507e-01 1.1037434e-06], shape=(4,), dtype=float32)
tf.Tensor([7.5114692e-10 1.0486972e-09 9.9999976e-01 2.5584515e-07], shape=(4,), dtype=float32)
tf.Tensor([4.9999270e-01 1.2664801e-05 4.9997446e-01 2.0169131e-05], shape=(4,), dtype=float32)
tf.Tensor([9.210771e-03 5.140361e-04 9.902129e-01 6.231904e-05], shape=(4,), dtype=float32)
tf.Tensor([9.61816311e-01 1.15639654e-04 1.62342109e-03 3.64445485e-02], shape=(4,), dtype=float32)
tf.Tensor([4.4610768e-04 1.8889587e-07 9.9955213e-01 1.5600144e-06], shape=(4,), dtype=float32)
tf.Tensor([1.6091971e-01 9.8221300e-08 8.3907139e-01 8.7482786e-06], shape=(4,), dtype=float32)
tf.Tensor([1.2675697e-10 5.9045699e-11 1.0000000e+00 9.2739603e-09], shape=(4,), dtype=float32)
tf.Tensor([3.9476737e-07 9.1113261e-06 9.9998987e-01 6.4946744e-07], shape=(4,), dtype=float32)
tf.Tensor([3.1565817e-04 7.2323566e-04 9.9893486e-01 2.6227017e-05], shape=(4,), dtype=float32)
tf.Tensor([7.3296264e-02 7.5647853e-02 4.9136311e-06 8.5105097e-01], shape=(4,), dtype=float32)
tf.Tensor([4.6247421e-03 1.5717782e-05 6.4203728e-06 9.9535310e-01], shape=(4,), dtype=float32)
tf.Tensor([5.0201924e-03 1.5907890e-05 7.7522702e-05 9.9488634e-01], shape=(4,), dtype=float32)
tf.Tensor([5.4964237e-03 4.4016509e-05 1.4540803e-06 9.9445814e-01], shape=(4,), dtype=float32)
tf.Tensor([1.92246750e-01 1.11579575e-01 3.94660674e-06 6.96169794e-01], shape=(4,), dtype=float32)
tf.Tensor([1.31435564e-03 1.09467015e-04 1.33035292e-05 9.98562932e-01], shape=(4,), dtype=float32)
tf.Tensor([4.5073801e-01 3.6195369e-04 3.7293448e-03 5.4517072e-01], shape=(4,), dtype=float32)
tf.Tensor([1.2839100e-03 4.7159276e-09 2.9299816e-11 9.9871612e-01], shape=(4,), dtype=float32)
tf.Tensor([7.2407122e-03 5.1216084e-05 4.9273580e-01 4.9997228e-01], shape=(4,), dtype=float32)
tf.Tensor([1.21654186e-04 2.64854625e-05 1.15042587e-06 9.99850750e-01], shape=(4,), dtype=float32)
tf.Tensor([8.87861729e-01 6.93578386e-08 3.38028440e-06 1.12134844e-01], shape=(4,), dtype=float32)
tf.Tensor([3.7763789e-06 1.0211473e-06 9.6536074e-05 9.9989867e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9916935e-01 2.7782187e-07 6.5007695e-04 1.8027741e-04], shape=(4,), dtype=float32)
tf.Tensor([2.8809063e-02 2.5825339e-05 1.1384828e-06 9.7116399e-01], shape=(4,), dtype=float32)
tf.Tensor([2.1359249e-04 3.1087334e-06 2.8038750e-05 9.9975526e-01], shape=(4,), dtype=float32)
tf.Tensor([7.9431443e-04 2.3242287e-04 2.4987888e-01 7.4909437e-01], shape=(4,), dtype=float32)
tf.Tensor([8.3421087e-03 1.4771525e-03 4.3452754e-05 9.9013722e-01], shape=(4,), dtype=float32)
tf.Tensor([0.7461787  0.00438734 0.24130787 0.00812605], shape=(4,), dtype=float32)
tf.Tensor([9.9994183e-01 2.1038468e-06 4.3904734e-08 5.5975568e-05], shape=(4,), dtype=float32)
tf.Tensor([9.9999690e-01 2.4330510e-07 1.2797253e-08 2.8357902e-06], shape=(4,), dtype=float32)
tf.Tensor([9.9990404e-01 2.9998823e-06 5.0913815e-08 9.2953480e-05], shape=(4,), dtype=float32)
tf.Tensor([5.2679253e-01 2.0364314e-05 2.5712750e-06 4.7318456e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9654305e-01 1.0069475e-04 7.8572246e-04 2.5705302e-03], shape=(4,), dtype=float32)
tf.Tensor([0.10886134 0.02084309 0.8535388  0.01675675], shape=(4,), dtype=float32)
tf.Tensor([0.13751419 0.00912652 0.03337724 0.81998205], shape=(4,), dtype=float32)
tf.Tensor([9.9999762e-01 2.6520465e-07 1.4384292e-06 6.8854200e-07], shape=(4,), dtype=float32)
tf.Tensor([5.2591348e-01 3.2046277e-02 4.8605707e-05 4.4199166e-01], shape=(4,), dtype=float32)
tf.Tensor([4.4580120e-01 3.3417036e-05 5.1856732e-01 3.5598040e-02], shape=(4,), dtype=float32)
tf.Tensor([7.5498408e-01 1.3716776e-05 2.3955891e-01 5.4432815e-03], shape=(4,), dtype=float32)
tf.Tensor([6.1305791e-01 1.5564332e-05 6.5817805e-03 3.8034475e-01], shape=(4,), dtype=float32)
tf.Tensor([5.9030741e-01 4.1552845e-05 3.4522751e-01 6.4423561e-02], shape=(4,), dtype=float32)
tf.Tensor([0.7095386  0.12898326 0.00266077 0.15881735], shape=(4,), dtype=float32)
tf.Tensor([8.0983078e-01 3.2595632e-04 5.3893955e-04 1.8930432e-01], shape=(4,), dtype=float32)
tf.Tensor([2.6940235e-03 9.9515867e-01 3.0067682e-04 1.8467039e-03], shape=(4,), dtype=float32)
tf.Tensor([4.733890e-03 5.028952e-01 3.553545e-06 4.923674e-01], shape=(4,), dtype=float32)
tf.Tensor([1.8739091e-02 9.3891853e-01 3.6176516e-05 4.2306229e-02], shape=(4,), dtype=float32)
tf.Tensor([7.5774042e-05 1.6588145e-05 9.9990416e-01 3.4863490e-06], shape=(4,), dtype=float32)
tf.Tensor([6.3858615e-06 8.4514404e-09 9.9999356e-01 6.6142007e-08], shape=(4,), dtype=float32)
tf.Tensor([1.0000730e-09 1.7339331e-09 9.9999982e-01 2.5688027e-07], shape=(4,), dtype=float32)
tf.Tensor([1.7242757e-05 5.7394480e-09 9.9998266e-01 8.5775191e-08], shape=(4,), dtype=float32)
tf.Tensor([1.5110414e-01 1.4571480e-04 8.3892983e-01 9.8203775e-03], shape=(4,), dtype=float32)
tf.Tensor([7.5144589e-01 2.6133601e-04 3.2216823e-04 2.4797061e-01], shape=(4,), dtype=float32)
tf.Tensor([8.4475467e-08 1.3231104e-10 9.9999988e-01 3.5776471e-09], shape=(4,), dtype=float32)
tf.Tensor([3.5788402e-05 1.0575192e-08 9.9996209e-01 2.1280041e-06], shape=(4,), dtype=float32)
tf.Tensor([5.1012535e-08 3.5565367e-07 9.9999952e-01 7.4887325e-08], shape=(4,), dtype=float32)
tf.Tensor([0.00204333 0.08228969 0.9138771  0.00178984], shape=(4,), dtype=float32)
tf.Tensor([1.2037289e-05 4.6089408e-04 9.9950218e-01 2.4837631e-05], shape=(4,), dtype=float32)
tf.Tensor([3.8156662e-02 6.0953265e-01 3.1032854e-05 3.5227966e-01], shape=(4,), dtype=float32)
tf.Tensor([2.5095653e-02 8.0802507e-05 5.4152956e-06 9.7481811e-01], shape=(4,), dtype=float32)
tf.Tensor([9.7626138e-01 2.0333633e-04 3.4703680e-05 2.3500551e-02], shape=(4,), dtype=float32)
tf.Tensor([1.4667681e-01 2.9610214e-06 3.2952246e-06 8.5331690e-01], shape=(4,), dtype=float32)
tf.Tensor([2.5394956e-02 3.3960022e-02 3.6758051e-05 9.4060826e-01], shape=(4,), dtype=float32)
tf.Tensor([2.0577872e-04 9.9049903e-06 7.9071521e-07 9.9978352e-01], shape=(4,), dtype=float32)
tf.Tensor([1.7048545e-01 3.1279862e-05 1.5428185e-04 8.2932895e-01], shape=(4,), dtype=float32)
tf.Tensor([9.577363e-02 8.890509e-08 7.577958e-11 9.042263e-01], shape=(4,), dtype=float32)
tf.Tensor([0.40658504 0.44793302 0.01944921 0.12603283], shape=(4,), dtype=float32)
tf.Tensor([1.2529384e-06 5.7485533e-10 1.7091365e-17 9.9999875e-01], shape=(4,), dtype=float32)
tf.Tensor([9.7979891e-01 1.4015112e-07 4.6039600e-06 2.0196324e-02], shape=(4,), dtype=float32)
tf.Tensor([7.43967667e-02 1.01818405e-05 2.46328954e-03 9.23129797e-01], shape=(4,), dtype=float32)
tf.Tensor([8.85554194e-01 1.88912687e-04 1.91798594e-04 1.14065066e-01], shape=(4,), dtype=float32)
tf.Tensor([3.6446389e-02 1.2559486e-05 2.0607472e-07 9.6354079e-01], shape=(4,), dtype=float32)
tf.Tensor([6.6002445e-05 5.0751178e-06 3.1869375e-05 9.9989712e-01], shape=(4,), dtype=float32)
tf.Tensor([0.0565569  0.13885951 0.25599417 0.5485894 ], shape=(4,), dtype=float32)
tf.Tensor([4.0788404e-03 8.2756342e-06 1.8195243e-08 9.9591291e-01], shape=(4,), dtype=float32)
tf.Tensor([1.1462469e-03 9.7083093e-06 1.7399356e-05 9.9882662e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9994171e-01 2.1037063e-06 4.4501782e-08 5.6118653e-05], shape=(4,), dtype=float32)
tf.Tensor([9.9996775e-01 8.9822504e-07 3.1738271e-08 3.1331580e-05], shape=(4,), dtype=float32)
tf.Tensor([9.3153203e-01 2.2234507e-04 8.7049775e-06 6.8236947e-02], shape=(4,), dtype=float32)
tf.Tensor([6.9582069e-01 2.0696047e-04 2.2262342e-05 3.0395010e-01], shape=(4,), dtype=float32)
tf.Tensor([6.6574097e-01 7.8853009e-05 1.9772255e-04 3.3398244e-01], shape=(4,), dtype=float32)
tf.Tensor([2.6190733e-03 3.1701915e-03 1.1619857e-06 9.9420959e-01], shape=(4,), dtype=float32)
tf.Tensor([0.7570616  0.0014095  0.24015944 0.00136947], shape=(4,), dtype=float32)
tf.Tensor([9.999989e-01 1.923173e-07 2.473678e-08 8.708318e-07], shape=(4,), dtype=float32)
tf.Tensor([8.7779069e-01 1.2334793e-02 2.0260284e-05 1.0985425e-01], shape=(4,), dtype=float32)
tf.Tensor([5.1287949e-01 7.3320803e-06 4.7268680e-01 1.4426428e-02], shape=(4,), dtype=float32)
tf.Tensor([5.1510489e-01 4.8440643e-06 4.8204657e-01 2.8437236e-03], shape=(4,), dtype=float32)
tf.Tensor([1.4531795e-02 3.4779516e-06 1.5667731e-05 9.8544908e-01], shape=(4,), dtype=float32)
tf.Tensor([5.1198655e-01 1.0106591e-04 3.0977550e-01 1.7813687e-01], shape=(4,), dtype=float32)
tf.Tensor([6.8489373e-01 7.2585549e-03 2.2803813e-04 3.0761975e-01], shape=(4,), dtype=float32)
tf.Tensor([7.5055373e-01 3.2078274e-04 1.0174467e-03 2.4810809e-01], shape=(4,), dtype=float32)
tf.Tensor([5.6042185e-04 9.6800613e-01 3.8587858e-04 3.1047633e-02], shape=(4,), dtype=float32)
tf.Tensor([0.1619936  0.53270346 0.26916564 0.03613726], shape=(4,), dtype=float32)
tf.Tensor([8.3145848e-04 9.9645150e-01 8.6073724e-06 2.7085484e-03], shape=(4,), dtype=float32)
tf.Tensor([5.2723724e-05 4.6197260e-06 9.9994218e-01 4.7209735e-07], shape=(4,), dtype=float32)
tf.Tensor([2.4396822e-06 1.9484535e-08 9.9998724e-01 1.0273195e-05], shape=(4,), dtype=float32)
tf.Tensor([8.8051280e-07 1.2537151e-09 9.9999917e-01 3.7426631e-08], shape=(4,), dtype=float32)
tf.Tensor([1.3817569e-05 1.3130073e-08 9.9998605e-01 1.3536325e-07], shape=(4,), dtype=float32)
tf.Tensor([1.0007425e-07 3.2768507e-06 9.9999589e-01 6.8876579e-07], shape=(4,), dtype=float32)
tf.Tensor([9.9999249e-01 4.4750600e-06 3.3733266e-07 2.7498911e-06], shape=(4,), dtype=float32)
tf.Tensor([1.5964189e-13 4.7340205e-12 1.0000000e+00 3.3463246e-10], shape=(4,), dtype=float32)
tf.Tensor([6.2567238e-03 1.2417061e-08 9.9373150e-01 1.1822220e-05], shape=(4,), dtype=float32)
tf.Tensor([9.4538591e-06 2.2695737e-03 9.9771768e-01 3.3457809e-06], shape=(4,), dtype=float32)
tf.Tensor([1.7717980e-10 1.1619385e-08 1.0000000e+00 6.2699135e-09], shape=(4,), dtype=float32)
tf.Tensor([1.03659719e-01 1.19846336e-04 8.95874083e-01 3.46347981e-04], shape=(4,), dtype=float32)
tf.Tensor([0.03066805 0.82866347 0.00162678 0.13904168], shape=(4,), dtype=float32)
tf.Tensor([1.0067295e-01 8.4260086e-05 3.2468249e-06 8.9923948e-01], shape=(4,), dtype=float32)
tf.Tensor([1.5996682e-02 8.4321597e-05 3.6720023e-05 9.8388231e-01], shape=(4,), dtype=float32)
tf.Tensor([4.7135830e-01 9.4816605e-05 3.7963281e-04 5.2816725e-01], shape=(4,), dtype=float32)
tf.Tensor([1.7759661e-05 3.9785238e-08 1.6065561e-08 9.9998224e-01], shape=(4,), dtype=float32)
tf.Tensor([1.6993654e-04 8.3384693e-06 6.2407639e-07 9.9982107e-01], shape=(4,), dtype=float32)
tf.Tensor([2.0139199e-01 7.9130569e-07 1.7025314e-07 7.9860711e-01], shape=(4,), dtype=float32)
tf.Tensor([2.0458731e-01 5.3903113e-09 5.6880529e-12 7.9541272e-01], shape=(4,), dtype=float32)
tf.Tensor([3.1742471e-01 5.0121403e-01 1.8110806e-01 2.5319293e-04], shape=(4,), dtype=float32)
tf.Tensor([2.2819561e-04 7.2984534e-09 3.2265669e-11 9.9977183e-01], shape=(4,), dtype=float32)
tf.Tensor([5.6081259e-01 2.2078252e-06 1.7232434e-05 4.3916792e-01], shape=(4,), dtype=float32)
tf.Tensor([9.2527382e-03 1.2839487e-06 6.3138059e-04 9.9011457e-01], shape=(4,), dtype=float32)
tf.Tensor([9.5730507e-01 8.5129184e-05 1.6403155e-04 4.2445771e-02], shape=(4,), dtype=float32)
tf.Tensor([5.9184778e-01 3.4725029e-02 7.8259194e-07 3.7342638e-01], shape=(4,), dtype=float32)
tf.Tensor([2.3816201e-05 6.1285837e-06 5.5372606e-05 9.9991465e-01], shape=(4,), dtype=float32)
tf.Tensor([0.05854099 0.05105134 0.20829661 0.682111  ], shape=(4,), dtype=float32)
tf.Tensor([2.8120172e-03 6.0436741e-04 3.4035500e-05 9.9654961e-01], shape=(4,), dtype=float32)
tf.Tensor([9.9200940e-01 1.2536031e-04 7.8944489e-04 7.0758210e-03], shape=(4,), dtype=float32)
tf.Tensor([0.45388222 0.00055081 0.00065552 0.5449114 ], shape=(4,), dtype=float32)
tf.Tensor([9.9998909e-01 6.1920161e-07 3.9923066e-08 1.0298469e-05], shape=(4,), dtype=float32)
tf.Tensor([9.3105322e-01 1.0806871e-04 3.0312131e-06 6.8835720e-02], shape=(4,), dtype=float32)
tf.Tensor([5.9267569e-01 2.3483753e-05 6.0350171e-06 4.0729490e-01], shape=(4,), dtype=float32)
tf.Tensor([6.9995058e-01 7.6595970e-05 2.9740354e-01 2.5692976e-03], shape=(4,), dtype=float32)
